core,thread,PC,instruction_hex,mnemonic,reg,reg_val,mem_addr,mem_val
0,3,2147483648,275,"li sp, 0",2,0,0,0
0,3,2147483652,403,"li gp, 0",3,0,0,0
0,3,2147483656,92274927,"jal pc + 0x58",1,2147483660,0,0
0,3,2147483744,2068371,"addi t6, t6, 1",31,1,0,0
0,3,2147483748,104858259,"li t0, 100",5,100,0,0
0,3,2147483752,52593427,"addi t1, t0, 50",6,150,0,0
0,3,2147483756,4284482451,"li t2, -10",7,4294967286,0,0
0,3,2147483760,209888275,"slti s0, t0, 200",8,1,0,0
0,3,2147483764,52602003,"slti s1, t0, 50",9,0,0,0
0,3,2147483768,238867,"slti a0, t2, 0",10,1,0,0
0,3,2147483772,209892755,"sltiu a1, t0, 200",11,1,0,0
0,3,2147483776,243219,"sltiu a2, t2, 0",12,0,0,0
0,3,2147483780,15910547,"xori a3, t0, 15",13,107,0,0
0,3,2147483784,4293936915,"not a4, zero",14,4294967295,0,0
0,3,2147483788,15918995,"ori a5, t0, 15",15,111,0,0
0,3,2147483792,1431332883,"ori a6, zero, 1365",16,1365,0,0
0,3,2147483796,267876499,"andi a7, a4, 255",17,255,0,0
0,3,2147483800,1879243027,"andi s2, t0, 1792",18,0,0,0
0,3,2147483804,157288851,"li s3, 150",19,150,0,0
0,3,2147483808,20126307,"bne t1, s3, pc + 20",0,0,0,0
0,3,2147483812,1051027,"li s3, 1",19,1,0,0
0,3,2147483816,20190819,"bne s0, s3, pc + 12",0,0,0,0
0,3,2147483820,20255843,"bne a0, s3, pc + 8",0,0,0,0
0,3,2147483824,8388719,"j pc + 0x8",0,0,0,0
0,3,2147483832,32871,"ret",0,0,0,0
0,3,2147483660,184549615,"jal pc + 0xb0",1,2147483664,0,0
0,3,2147483836,2068371,"addi t6, t6, 1",31,2,0,0
0,3,2147483840,20972179,"li t0, 20",5,20,0,0
